site,case_id,case_group,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,days,population,endpoint
reserve10,clean,primary,aci_bounded,1,3954,0.03896614650132301,0.06389370475258582,0.5007587253414264,0.8022255943348507,0.9013657056145675,0.30184341286603833,0,326,exclude_bright_zero,all
reserve10,clean,primary,aci_bounded,2,3954,0.05226268095433373,0.08977066997722571,0.5022761760242792,0.798937784522003,0.8998482549317147,0.401433974753214,0,325,exclude_bright_zero,all
reserve10,clean,primary,aci_bounded,3,3954,0.05817907234563934,0.1027695339015478,0.4984825493171472,0.7976732422862923,0.9013657056145675,0.43184027705597977,0,325,exclude_bright_zero,all
reserve10,clean,primary,aci_bounded,4,3954,0.0612468189478334,0.11042282476238839,0.4946889226100152,0.8017197774405666,0.9038947900859888,0.44120026509037624,0,325,exclude_bright_zero,all
reserve10,clean,primary,carry_forward,1,3954,0.04135909080558123,0.06661917796565002,0.4165402124430956,0.7020738492665655,0.8452200303490136,0.3187935868272915,0,326,exclude_bright_zero,all
reserve10,clean,primary,carry_forward,2,3954,0.053661264930899545,0.09169862259590052,0.39428426909458775,0.6820940819423369,0.8358624178047547,0.3844661883105561,0,325,exclude_bright_zero,all
reserve10,clean,primary,carry_forward,3,3954,0.05975161519445862,0.1056023115901105,0.38720283257460797,0.6818411734951947,0.8196762771876581,0.40074048910226867,0,325,exclude_bright_zero,all
reserve10,clean,primary,carry_forward,4,3954,0.0621077756793844,0.11060782125195702,0.3813859382903389,0.6805766312594841,0.8191704602933738,0.40536539146806977,0,325,exclude_bright_zero,all
reserve10,clean,primary,geometric_persistence,1,3954,0.051694244995412614,0.08010480716756621,0.5417298937784522,0.858877086494689,0.9420839656044512,0.4767868149520055,0,326,exclude_bright_zero,all
reserve10,clean,primary,geometric_persistence,2,3954,0.07830239324526976,0.13117708813565018,0.5392008093070308,0.8449671219018715,0.9317147192716236,0.5966231499728556,0,325,exclude_bright_zero,all
reserve10,clean,primary,geometric_persistence,3,3954,0.09956652744026785,0.17651353933760394,0.5288315629742033,0.836368234699039,0.9231158320687911,0.7061996114794883,0,325,exclude_bright_zero,all
reserve10,clean,primary,geometric_persistence,4,3954,0.11562048226240343,0.21445240225887938,0.5265553869499241,0.8257460799190693,0.9175518462316642,0.7725044486172808,0,325,exclude_bright_zero,all
reserve10,clean,primary,mask50,1,3954,0.03894814555115472,0.06389370475258582,0.5085988872028325,0.8055134041476986,0.9064238745574102,0.30559284970871625,0,326,exclude_bright_zero,all
reserve10,clean,primary,mask50,2,3954,0.05223264647185231,0.08977066997722571,0.5123925139099645,0.802478502781993,0.9033889731917046,0.40251967037364794,0,325,exclude_bright_zero,all
reserve10,clean,primary,mask50,3,3954,0.05813959499956311,0.1027695339015478,0.5088517956499747,0.802731411229135,0.9018715225088518,0.4305985119450711,0,325,exclude_bright_zero,all
reserve10,clean,primary,mask50,4,3954,0.06121365713954586,0.11042282476238839,0.49898836621143144,0.8034901365705615,0.898583712696004,0.4380402581036403,0,325,exclude_bright_zero,all
reserve10,clean,primary,mi_recency,1,3954,0.044700552879413095,0.06803492666199709,0.5123925139099645,0.8103186646433991,0.9001011633788568,0.30832923903824216,0,326,exclude_bright_zero,all
reserve10,clean,primary,mi_recency,2,3954,0.059122905969014504,0.0942342526970749,0.5118866970156803,0.7986848760748609,0.900354071825999,0.4016458048393975,0,325,exclude_bright_zero,all
reserve10,clean,primary,mi_recency,3,3954,0.06537445572516604,0.1044767785915167,0.5103692463328275,0.8032372281234194,0.9006069802731411,0.44325018005003136,0,325,exclude_bright_zero,all
reserve10,clean,primary,mi_recency,4,3954,0.06915923309522833,0.11128787225053337,0.5040465351542741,0.802731411229135,0.8998482549317147,0.471307586269113,0,325,exclude_bright_zero,all
reserve10,clean,primary,multiple_imputation,1,3954,0.04509704105591832,0.06803492666199709,0.6327769347496206,0.8136064744562468,0.8674759736975215,0.2592352188293992,0,326,exclude_bright_zero,all
reserve10,clean,primary,multiple_imputation,2,3954,0.060182541793100675,0.0942342526970749,0.5520991401112797,0.7640364188163885,0.8366211431461811,0.312791588435828,0,325,exclude_bright_zero,all
reserve10,clean,primary,multiple_imputation,3,3954,0.06697439448788543,0.1044767785915167,0.5349013657056145,0.7445624683864441,0.8209408194233687,0.3324013860263678,0,325,exclude_bright_zero,all
reserve10,clean,primary,multiple_imputation,4,3954,0.07135413118206188,0.11128787225053337,0.5220030349013657,0.7324228629236217,0.810065756196257,0.3451689541796702,0,325,exclude_bright_zero,all
reserve10,clean,primary,persistence,1,3954,0.06913030275188584,0.12539031935803405,0.5566514921598381,0.8603945371775418,0.9471421345472939,0.5506731177239141,0,326,exclude_bright_zero,all
reserve10,clean,primary,persistence,2,3954,0.1064336118737333,0.21028263412890352,0.5558927668184117,0.840161861406171,0.9317147192716236,0.7069931333311127,0,325,exclude_bright_zero,all
